MODE,FREQUENCY,MODAL MASS,KENE,X-DIR,RATIO%,Y-DIR,RATIO%,Z-DIR,RATIO%
73,207.3,0.1328E-03,112.6,0.000,0.00,0.000,0.00,0.000,0.00
74,209.1,0.1279E-03,110.4,0.000,0.00,0.000,0.00,0.000,0.00
75,210.0,0.1275E-03,111.0,0.000,0.00,0.000,0.00,0.000,0.00
76,211.0,0.3386E-03,297.5,0.000,0.00,0.000,0.00,0.000,0.00
77,215.4,0.6943E-03,636.1,0.000,0.00,0.000,0.00,0.000,0.00
78,219.2,0.2882E-03,273.3,0.000,0.00,0.000,0.00,0.000,0.00
79,220.8,0.3447E-03,331.7,0.000,0.00,0.000,0.00,0.000,0.00
80,221.3,0.3115E-03,301.0,0.000,0.00,0.000,0.00,0.000,0.00
81,223.6,0.1984E-03,195.8,0.000,0.00,0.000,0.00,0.000,0.00
82,231.3,0.1455E-03,153.6,0.000,0.00,0.000,0.00,0.000,0.00
83,238.9,0.2926E-03,329.6,0.000,0.00,0.000,0.00,0.000,0.00
84,243.3,0.7609E-04,88.93,0.000,0.00,0.000,0.00,0.000,0.00
85,244.3,0.2667E-03,314.2,0.000,0.00,0.000,0.00,0.000,0.00
86,258.1,0.1270E-03,167.1,0.000,0.00,0.000,0.00,0.000,0.00
87,264.7,0.1133E-02,1566.,0.000,0.00,0.000,0.00,0.000,0.00
88,269.7,0.1119E-03,160.7,0.000,0.00,0.000,0.00,0.000,0.00
89,271.6,0.4583E-03,667.4,0.000,0.00,0.000,0.00,0.000,0.00
90,277.7,0.8072E-04,122.9,0.000,0.00,0.000,0.00,0.000,0.00
91,282.4,0.1371E-03,215.8,0.000,0.00,0.000,0.00,0.000,0.00
92,283.1,0.1159E-03,183.4,0.000,0.00,0.000,0.00,0.000,0.00
93,284.6,0.1376E-03,219.9,0.000,0.00,0.000,0.00,0.000,0.00
94,291.0,0.1085E-03,181.4,0.000,0.00,0.000,0.00,0.000,0.00
95,296.4,0.3396E-03,589.0,0.000,0.00,0.000,0.00,0.000,0.00
96,301.1,0.3314E-03,592.9,0.000,0.00,0.000,0.00,0.000,0.00
97,305.2,0.9145E-04,168.1,0.000,0.00,0.000,0.00,0.000,0.00
98,307.2,0.1892E-03,352.5,0.000,0.00,0.000,0.00,0.000,0.00
99,310.5,0.2545E-03,484.4,0.000,0.00,0.000,0.00,0.000,0.00
100,312.5,0.3238E-02,6241.,0.000,0.00,0.000,0.00,0.000,0.00
101,313.0,0.4745E-03,917.4,0.000,0.00,0.000,0.00,0.000,0.00
102,315.3,0.8515E-04,167.1,0.000,0.00,0.000,0.00,0.000,0.00
103,319.3,0.2406E-03,484.1,0.000,0.00,0.000,0.00,0.000,0.00
104,323.1,0.6813E-04,140.4,0.000,0.00,0.000,0.00,0.000,0.00
105,324.0,0.2815E-03,583.5,0.000,0.00,0.000,0.00,0.000,0.00
106,327.9,0.2455E-03,521.1,0.000,0.00,0.000,0.00,0.000,0.00
107,336.0,0.4017E-03,895.0,0.000,0.00,0.000,0.00,0.000,0.00
108,338.2,0.4231E-03,955.0,0.000,0.00,0.000,0.00,0.000,0.00
109,341.1,0.1274E-03,292.5,0.000,0.00,0.000,0.00,0.000,0.00
110,347.2,0.3264E-03,776.9,0.000,0.00,0.000,0.00,0.000,0.00
111,348.7,0.1001E-02,2403.,0.000,0.00,0.000,0.00,0.000,0.00
112,379.3,0.1768E-03,501.9,0.000,0.00,0.000,0.00,0.000,0.00
113,383.9,0.6897E-03,2007.,0.000,0.00,0.000,0.00,0.000,0.00
114,384.7,0.8658E-04,252.9,0.000,0.00,0.000,0.00,0.000,0.00
115,389.7,0.1668E-02,5002.,0.000,0.00,0.000,0.00,0.000,0.00
116,394.1,0.3813E-03,1169.,0.000,0.00,0.000,0.00,0.000,0.00
117,403.0,0.2825E-03,905.7,0.000,0.00,0.000,0.00,0.000,0.00
118,412.3,0.6095E-03,2045.,0.000,0.00,0.000,0.00,0.000,0.00
119,414.1,0.1083E-02,3665.,0.000,0.00,0.000,0.00,0.000,0.00
120,417.7,0.1019E-02,3512.,0.000,0.00,0.000,0.00,0.000,0.00
121,423.3,0.2505E-03,886.1,0.000,0.00,0.000,0.00,0.000,0.00
122,430.5,0.5415E-03,1981.,0.000,0.00,0.000,0.00,0.000,0.00
123,433.9,0.2986E-03,1110.,0.000,0.00,0.000,0.00,0.000,0.00
124,436.4,0.2796E-03,1051.,0.000,0.00,0.000,0.00,0.000,0.00
125,439.7,0.3286E-03,1254.,0.000,0.00,0.000,0.00,0.000,0.00
126,451.1,0.4565E-03,1834.,0.000,0.00,0.000,0.00,0.000,0.00
127,452.6,0.8196E-04,331.4,0.000,0.00,0.000,0.00,0.000,0.00
128,460.5,0.1106E-03,462.8,0.000,0.00,0.000,0.00,0.000,0.00
129,462.1,0.1745E-02,7354.,0.000,0.00,0.000,0.00,0.000,0.00
130,468.1,0.7422E-03,3210.,0.000,0.00,0.000,0.00,0.000,0.00
131,470.6,0.4165E-03,1820.,0.000,0.00,0.000,0.00,0.000,0.00
132,473.1,0.8165E-03,3608.,0.000,0.00,0.000,0.00,0.000,0.00
133,474.0,0.1530E-02,6787.,0.000,0.00,0.000,0.00,0.000,0.00
134,478.9,0.1036E-02,4691.,0.000,0.00,0.000,0.00,0.000,0.00
135,479.3,0.1496E-02,6784.,0.000,0.00,0.000,0.00,0.000,0.00
136,482.8,0.2341E-02,0.1077E+05,0.000,0.00,0.000,0.00,0.000,0.00
137,490.1,0.2052E-03,972.9,0.000,0.00,0.000,0.00,0.000,0.00
138,494.3,0.3857E-03,1860.,0.000,0.00,0.000,0.00,0.000,0.00
139,494.8,0.4362E-03,2108.,0.000,0.00,0.000,0.00,0.000,0.00
140,502.5,0.4810E-03,2398.,0.000,0.00,0.000,0.00,0.000,0.00
141,509.7,0.2510E-03,1287.,0.000,0.00,0.000,0.00,0.000,0.00
142,516.4,0.1450E-03,763.4,0.000,0.00,0.000,0.00,0.000,0.00
143,517.1,0.1406E-03,741.9,0.000,0.00,0.000,0.00,0.000,0.00
144,521.3,0.3503E-03,1879.,0.000,0.00,0.000,0.00,0.000,0.00
