MODE,FREQUENCY,PERIOD,PARTIC.FACTOR,RATIO,EFFECTIVE MASS,MASS FRACTION,TO TOTAL MASS
65,183.187,0.54589E-02,0.0000,0.000000,0.00000,1.00000,0.00000
66,186.234,0.53696E-02,0.0000,0.000000,0.00000,1.00000,0.00000
67,190.648,0.52453E-02,0.0000,0.000000,0.00000,1.00000,0.00000
68,192.852,0.51853E-02,0.0000,0.000000,0.00000,1.00000,0.00000
69,193.247,0.51747E-02,0.0000,0.000000,0.00000,1.00000,0.00000
70,195.135,0.51247E-02,0.0000,0.000000,0.00000,1.00000,0.00000
71,201.478,0.49633E-02,0.0000,0.000000,0.00000,1.00000,0.00000
72,202.090,0.49483E-02,0.0000,0.000000,0.00000,1.00000,0.00000
73,207.308,0.48237E-02,0.0000,0.000000,0.00000,1.00000,0.00000
74,209.141,0.47815E-02,0.0000,0.000000,0.00000,1.00000,0.00000
75,210.038,0.47610E-02,0.0000,0.000000,0.00000,1.00000,0.00000
76,210.978,0.47398E-02,0.0000,0.000000,0.00000,1.00000,0.00000
77,215.439,0.46417E-02,0.0000,0.000000,0.00000,1.00000,0.00000
78,219.172,0.45626E-02,0.0000,0.000000,0.00000,1.00000,0.00000
79,220.801,0.45290E-02,0.0000,0.000000,0.00000,1.00000,0.00000
80,221.255,0.45197E-02,0.0000,0.000000,0.00000,1.00000,0.00000
81,223.582,0.44726E-02,0.0000,0.000000,0.00000,1.00000,0.00000
82,231.274,0.43239E-02,0.0000,0.000000,0.00000,1.00000,0.00000
83,238.883,0.41861E-02,0.0000,0.000000,0.00000,1.00000,0.00000
84,243.334,0.41096E-02,0.0000,0.000000,0.00000,1.00000,0.00000
85,244.328,0.40929E-02,0.0000,0.000000,0.00000,1.00000,0.00000
86,258.125,0.38741E-02,0.0000,0.000000,0.00000,1.00000,0.00000
87,264.706,0.37778E-02,0.0000,0.000000,0.00000,1.00000,0.00000
88,269.741,0.37073E-02,0.0000,0.000000,0.00000,1.00000,0.00000
89,271.625,0.36815E-02,0.0000,0.000000,0.00000,1.00000,0.00000
90,277.728,0.36006E-02,0.0000,0.000000,0.00000,1.00000,0.00000
91,282.385,0.35413E-02,0.0000,0.000000,0.00000,1.00000,0.00000
92,283.098,0.35323E-02,0.0000,0.000000,0.00000,1.00000,0.00000
93,284.587,0.35139E-02,0.0000,0.000000,0.00000,1.00000,0.00000
94,290.989,0.34366E-02,0.0000,0.000000,0.00000,1.00000,0.00000
95,296.443,0.33733E-02,0.0000,0.000000,0.00000,1.00000,0.00000
96,301.073,0.33215E-02,0.0000,0.000000,0.00000,1.00000,0.00000
97,305.198,0.32766E-02,0.0000,0.000000,0.00000,1.00000,0.00000
98,307.229,0.32549E-02,0.0000,0.000000,0.00000,1.00000,0.00000
99,310.513,0.32205E-02,0.0000,0.000000,0.00000,1.00000,0.00000
100,312.481,0.32002E-02,0.0000,0.000000,0.00000,1.00000,0.00000
101,312.961,0.31953E-02,0.0000,0.000000,0.00000,1.00000,0.00000
102,315.336,0.31712E-02,0.0000,0.000000,0.00000,1.00000,0.00000
103,319.268,0.31322E-02,0.0000,0.000000,0.00000,1.00000,0.00000
104,323.133,0.30947E-02,0.0000,0.000000,0.00000,1.00000,0.00000
105,324.042,0.30860E-02,0.0000,0.000000,0.00000,1.00000,0.00000
106,327.929,0.30494E-02,0.0000,0.000000,0.00000,1.00000,0.00000
107,335.966,0.29765E-02,0.0000,0.000000,0.00000,1.00000,0.00000
108,338.171,0.29571E-02,0.0000,0.000000,0.00000,1.00000,0.00000
109,341.080,0.29319E-02,0.0000,0.000000,0.00000,1.00000,0.00000
110,347.234,0.28799E-02,0.0000,0.000000,0.00000,1.00000,0.00000
111,348.689,0.28679E-02,0.0000,0.000000,0.00000,1.00000,0.00000
112,379.265,0.26367E-02,0.0000,0.000000,0.00000,1.00000,0.00000
113,383.910,0.26048E-02,0.0000,0.000000,0.00000,1.00000,0.00000
114,384.672,0.25996E-02,0.0000,0.000000,0.00000,1.00000,0.00000
115,389.747,0.25658E-02,0.0000,0.000000,0.00000,1.00000,0.00000
116,394.136,0.25372E-02,0.0000,0.000000,0.00000,1.00000,0.00000
117,403.037,0.24812E-02,0.0000,0.000000,0.00000,1.00000,0.00000
118,412.283,0.24255E-02,0.0000,0.000000,0.00000,1.00000,0.00000
119,414.133,0.24147E-02,0.0000,0.000000,0.00000,1.00000,0.00000
120,417.748,0.23938E-02,0.0000,0.000000,0.00000,1.00000,0.00000
121,423.325,0.23623E-02,0.0000,0.000000,0.00000,1.00000,0.00000
122,430.517,0.23228E-02,0.0000,0.000000,0.00000,1.00000,0.00000
123,433.912,0.23046E-02,0.0000,0.000000,0.00000,1.00000,0.00000
124,436.409,0.22914E-02,0.0000,0.000000,0.00000,1.00000,0.00000
125,439.690,0.22743E-02,0.0000,0.000000,0.00000,1.00000,0.00000
126,451.068,0.22170E-02,0.0000,0.000000,0.00000,1.00000,0.00000
127,452.585,0.22095E-02,0.0000,0.000000,0.00000,1.00000,0.00000
128,460.456,0.21718E-02,0.0000,0.000000,0.00000,1.00000,0.00000
129,462.108,0.21640E-02,0.0000,0.000000,0.00000,1.00000,0.00000
130,468.097,0.21363E-02,0.0000,0.000000,0.00000,1.00000,0.00000
131,470.563,0.21251E-02,0.0000,0.000000,0.00000,1.00000,0.00000
132,473.139,0.21135E-02,0.0000,0.000000,0.00000,1.00000,0.00000
133,473.986,0.21098E-02,0.0000,0.000000,0.00000,1.00000,0.00000
134,478.866,0.20883E-02,0.0000,0.000000,0.00000,1.00000,0.00000
135,479.328,0.20863E-02,0.0000,0.000000,0.00000,1.00000,0.00000
136,482.846,0.20711E-02,0.0000,0.000000,0.00000,1.00000,0.00000
137,490.074,0.20405E-02,0.0000,0.000000,0.00000,1.00000,0.00000
138,494.302,0.20231E-02,0.0000,0.000000,0.00000,1.00000,0.00000
139,494.793,0.20210E-02,0.0000,0.000000,0.00000,1.00000,0.00000
140,502.537,0.19899E-02,0.0000,0.000000,0.00000,1.00000,0.00000
141,509.702,0.19619E-02,0.0000,0.000000,0.00000,1.00000,0.00000
142,516.399,0.19365E-02,0.0000,0.000000,0.00000,1.00000,0.00000
143,517.104,0.19338E-02,0.0000,0.000000,0.00000,1.00000,0.00000
144,521.267,0.19184E-02,0.0000,0.000000,0.00000,1.00000,0.00000
145,523.233,0.19112E-02,0.0000,0.000000,0.00000,1.00000,0.00000
146,526.113,0.19007E-02,0.0000,0.000000,0.00000,1.00000,0.00000
147,529.911,0.18871E-02,0.0000,0.000000,0.00000,1.00000,0.00000
148,533.413,0.18747E-02,0.0000,0.000000,0.00000,1.00000,0.00000
149,540.522,0.18501E-02,0.0000,0.000000,0.00000,1.00000,0.00000
150,553.443,0.18069E-02,0.0000,0.000000,0.00000,1.00000,0.00000
151,559.137,0.17885E-02,0.0000,0.000000,0.00000,1.00000,0.00000
152,560.023,0.17856E-02,0.0000,0.000000,0.00000,1.00000,0.00000
153,567.596,0.17618E-02,0.0000,0.000000,0.00000,1.00000,0.00000
154,569.490,0.17560E-02,0.0000,0.000000,0.00000,1.00000,0.00000
155,571.522,0.17497E-02,0.0000,0.000000,0.00000,1.00000,0.00000
156,575.755,0.17368E-02,0.0000,0.000000,0.00000,1.00000,0.00000
157,604.463,0.16544E-02,0.0000,0.000000,0.00000,1.00000,0.00000
158,610.908,0.16369E-02,0.0000,0.000000,0.00000,1.00000,0.00000
159,616.638,0.16217E-02,0.0000,0.000000,0.00000,1.00000,0.00000
160,624.656,0.16009E-02,0.0000,0.000000,0.00000,1.00000,0.00000
161,631.588,0.15833E-02,0.0000,0.000000,0.00000,1.00000,0.00000
162,636.794,0.15704E-02,0.0000,0.000000,0.00000,1.00000,0.00000
163,637.384,0.15689E-02,0.0000,0.000000,0.00000,1.00000,0.00000
164,640.973,0.15601E-02,0.0000,0.000000,0.00000,1.00000,0.00000
165,647.179,0.15452E-02,0.0000,0.000000,0.00000,1.00000,0.00000
166,650.301,0.15378E-02,0.0000,0.000000,0.00000,1.00000,0.00000
167,655.319,0.15260E-02,0.0000,0.000000,0.00000,1.00000,0.00000
168,656.507,0.15232E-02,0.0000,0.000000,0.00000,1.00000,0.00000
169,657.173,0.15217E-02,0.0000,0.000000,0.00000,1.00000,0.00000
170,659.387,0.15166E-02,0.0000,0.000000,0.00000,1.00000,0.00000
171,665.073,0.15036E-02,0.0000,0.000000,0.00000,1.00000,0.00000
172,668.575,0.14957E-02,0.0000,0.000000,0.00000,1.00000,0.00000
173,669.678,0.14933E-02,0.0000,0.000000,0.00000,1.00000,0.00000
174,671.390,0.14894E-02,0.0000,0.000000,0.00000,1.00000,0.00000
175,677.664,0.14757E-02,0.0000,0.000000,0.00000,1.00000,0.00000
176,680.870,0.14687E-02,0.0000,0.000000,0.00000,1.00000,0.00000
